Name of model: Tensorflow model
Tested: 12/06/2021 17:29:09
Your model tested value: 0.866100013256073
Generating random algorithm: numpy.uniform

Deviation	Tested value
0.0	[0.866100013256073]
0.0001	[0.8658999800682068]
0.0002	[0.8666999936103821]
0.0003	[0.8669999837875366]
0.0004	[0.8668000102043152]
0.0005	[0.8661999702453613]
0.0006	[0.8669000267982483]
0.0007	[0.8669000267982483]
0.0008	[0.8647000193595886]
0.0009	[0.8511999845504761]
0.001	[0.8654000163078308]
0.0011	[0.8619999885559082]
0.0012	[0.8640000224113464]
0.0013	[0.8672000169754028]
0.0014	[0.8033000230789185]
0.0015	[0.862500011920929]
0.0016	[0.866599977016449]
0.0017	[0.8637999892234802]
0.0018	[0.8616999983787537]
0.0019	[0.8632000088691711]
0.002	[0.8651999831199646]
0.0021	[0.7161999940872192]
0.0022	[0.8668000102043152]
0.0023	[0.8259000182151794]
0.0024	[0.7013999819755554]
0.0025	[0.8593000173568726]
0.0026	[0.8664000034332275]
0.0027	[0.5928000211715698]
0.0028	[0.6545000076293945]
0.0029	[0.8672999739646912]
0.003	[0.8270000219345093]
0.0031	[0.8668000102043152]
0.0032	[0.65420001745224]
0.0033	[0.8259999752044678]
0.0034	[0.821399986743927]
0.0035	[0.8463000059127808]
0.0036	[0.8492000102996826]
0.0037	[0.8349000215530396]
0.0038	[0.6503999829292297]
0.0039	[0.6385999917984009]
0.004	[0.7831000089645386]
0.0041	[0.8366000056266785]
0.0042	[0.7465999722480774]
0.0043	[0.8291000127792358]
0.0044	[0.6098999977111816]
0.0045	[0.5654000043869019]
0.0046	[0.8220999836921692]
0.0047	[0.8411999940872192]
0.0048	[0.33889999985694885]
0.0049	[0.8640000224113464]
