Name of model: Tensorflow model
Tested: 15/06/2021 17:06:02
Your model tested value: 0.866100013256073
Generating random algorithm: numpy.normal

Sigma	Tested value
0.0	0.866100013256073
0.001	0.8657000064849854
0.002	0.866100013256073
0.003	0.8650000095367432
0.004	0.8648999929428101
0.005	0.8632000088691711
0.006	0.8647000193595886
0.007	0.8651000261306763
0.008	0.8659999966621399
0.009	0.8622000217437744
0.01	0.8634999990463257
0.011	0.8623999953269958
0.012	0.8611999750137329
0.013	0.8496999740600586
0.014	0.8598999977111816
0.015	0.8514999747276306
0.016	0.8537999987602234
0.017	0.8565999865531921
0.018	0.8187999725341797
0.019	0.8503000140190125
0.02	0.8550999760627747
0.021	0.8472999930381775
0.022	0.833899974822998
0.023	0.84170001745224
0.024	0.8409000039100647
0.025	0.8363000154495239
0.026	0.8370000123977661
0.027	0.8185999989509583
0.028	0.8343999981880188
0.029	0.8281000256538391
0.03	0.8058000206947327
0.031	0.8295999765396118
0.032	0.7968999743461609
0.033	0.7910000085830688
0.034	0.7925999760627747
0.035	0.7698000073432922
0.036	0.7318000197410583
0.037	0.7940000295639038
0.038	0.7789000272750854
0.039	0.7767999768257141
0.04	0.7397000193595886
0.041	0.7681999802589417
0.042	0.7089999914169312
0.043	0.7455999851226807
0.044	0.7728999853134155
0.045	0.6875
0.046	0.7840999960899353
0.047	0.746399998664856
0.048	0.5881999731063843
0.049	0.6157000064849854
0.05	0.6916999816894531
0.051	0.6456000208854675
0.052	0.6259999871253967
0.053	0.746999979019165
0.054	0.6640999913215637
0.055	0.6692000031471252
0.056	0.6352999806404114
0.057	0.5922999978065491
0.058	0.6973999738693237
0.059	0.4876999855041504
0.06	0.4717000126838684
0.061	0.5404000282287598
0.062	0.7663000226020813
0.063	0.6183000206947327
0.064	0.5171999931335449
0.065	0.6229000091552734
0.066	0.538100004196167
0.067	0.4878999888896942
0.068	0.6991000175476074
0.069	0.4528999924659729
0.07	0.5449000000953674
0.071	0.6184999942779541
0.072	0.4887999892234802
0.073	0.48190000653266907
0.074	0.36959999799728394
0.075	0.4108000099658966
0.076	0.5898000001907349
0.077	0.4187000095844269
0.078	0.3788999915122986
0.079	0.4189999997615814
0.08	0.48429998755455017
0.081	0.4302000105381012
0.082	0.5220000147819519
0.083	0.5184999704360962
0.084	0.29649999737739563
0.085	0.46380001306533813
0.086	0.5706999897956848
0.087	0.3400000035762787
0.088	0.5758000016212463
0.089	0.4147000014781952
0.09	0.3880999982357025
0.091	0.5254999995231628
0.092	0.37070000171661377
0.093	0.2639000117778778
0.094	0.391400009393692
0.095	0.392300009727478
0.096	0.39809998869895935
0.097	0.4462999999523163
0.098	0.38679999113082886
0.099	0.36090001463890076
